city,seed,backbone,group,n_requests,n_cats_supported,macroCatMRR_sit,macroCatMRR_steck,delta,ci_lo,ci_hi,kappa_sit,kappa_steck
saopaulo,45,SASRec,OFF-PRIOR,14524,10,0.234963,0.214675,0.020288,0.013326,0.027134,0.25,0.75
saopaulo,46,B_blind,ON-PRIOR,9297,8,0.289079,0.667686,-0.378607,-0.388845,-0.334584,0.25,0.75
saopaulo,46,B_blind,OFF-PRIOR,14524,10,0.169751,0.156786,0.012965,0.007567,0.01825,0.25,0.75
saopaulo,46,EASE,ON-PRIOR,9297,8,0.333233,0.627539,-0.294306,-0.305192,-0.282033,0.05,0.05
saopaulo,46,EASE,OFF-PRIOR,14524,10,0.162861,0.159351,0.00351,-0.006332,0.012343,0.05,0.05
saopaulo,46,AFM,ON-PRIOR,9297,8,0.379981,0.774369,-0.394388,-0.405292,-0.377924,0.5,1.0
saopaulo,46,AFM,OFF-PRIOR,14524,10,0.196963,0.192428,0.004535,-0.005289,0.013392,0.5,1.0
saopaulo,46,SASRec,ON-PRIOR,9297,8,0.45251,0.759883,-0.307372,-0.365774,-0.296529,0.25,0.75
saopaulo,46,SASRec,OFF-PRIOR,14524,10,0.236179,0.214964,0.021215,0.014201,0.028321,0.25,0.75
yelp,42,B_blind,ON-PRIOR,27919,2,0.502008,0.495266,0.006742,-0.003947,0.014362,0.5,0.05
yelp,42,B_blind,OFF-PRIOR,8853,16,0.085711,0.093226,-0.007515,-0.010201,-0.005345,0.5,0.05
yelp,42,EASE,ON-PRIOR,27919,2,0.524745,0.601587,-0.076842,-0.150266,-0.003747,0.05,0.05
yelp,42,EASE,OFF-PRIOR,8853,16,0.067511,0.078657,-0.011146,-0.018481,-0.003832,0.05,0.05
yelp,42,AFM,ON-PRIOR,27919,2,0.5032,0.508952,-0.005751,-0.028421,0.004012,0.25,0.1
yelp,42,AFM,OFF-PRIOR,8853,16,0.077385,0.078612,-0.001226,-0.002649,0.000457,0.25,0.1
yelp,42,SASRec,ON-PRIOR,27919,2,0.716327,0.731135,-0.014809,-0.046085,0.012896,0.25,0.05
yelp,42,SASRec,OFF-PRIOR,8853,16,0.114745,0.1165,-0.001755,-0.004945,0.001883,0.25,0.05
yelp,43,B_blind,ON-PRIOR,27919,2,0.497014,0.495886,0.001128,-0.001418,0.003777,0.05,0.05
yelp,43,B_blind,OFF-PRIOR,8853,16,0.092315,0.09265,-0.000335,-0.001207,0.000506,0.05,0.05
yelp,43,EASE,ON-PRIOR,27919,2,0.450184,0.6498,-0.199616,-0.274144,-0.12812,0.05,0.05
yelp,43,EASE,OFF-PRIOR,8853,16,0.068575,0.076731,-0.008156,-0.018207,0.000761,0.05,0.05
yelp,43,AFM,ON-PRIOR,27919,2,0.501162,0.50941,-0.008248,-0.023478,-0.001235,0.05,0.1
yelp,43,AFM,OFF-PRIOR,8853,16,0.079801,0.078893,0.000909,0.00015,0.001874,0.05,0.1
yelp,43,SASRec,ON-PRIOR,27919,2,0.729845,0.738889,-0.009044,-0.023597,-0.001085,0.05,0.05
yelp,43,SASRec,OFF-PRIOR,8853,16,0.117336,0.115942,0.001394,-0.001154,0.004264,0.05,0.05
yelp,44,B_blind,ON-PRIOR,27919,2,0.503349,0.49526,0.008089,0.000981,0.014853,0.25,0.05
yelp,44,B_blind,OFF-PRIOR,8853,16,0.089392,0.093285,-0.003892,-0.006255,-0.001898,0.25,0.05
yelp,44,EASE,ON-PRIOR,27919,2,0.49155,0.604539,-0.112989,-0.189233,-0.039976,0.05,0.05
yelp,44,EASE,OFF-PRIOR,8853,16,0.064897,0.079134,-0.014237,-0.022119,-0.006654,0.05,0.05
yelp,44,AFM,ON-PRIOR,27919,2,0.503858,0.509064,-0.005205,-0.028451,0.007146,0.25,0.05
yelp,44,AFM,OFF-PRIOR,8853,16,0.078387,0.07839,-3e-06,-0.001585,0.001854,0.25,0.05
yelp,44,SASRec,ON-PRIOR,27919,2,0.730606,0.732537,-0.001931,-0.01007,0.002213,0.1,0.05
yelp,44,SASRec,OFF-PRIOR,8853,16,0.116795,0.116583,0.000212,-0.002437,0.003303,0.1,0.05
yelp,45,B_blind,ON-PRIOR,27919,2,0.497014,0.495886,0.001128,-0.001418,0.003777,0.05,0.05
yelp,45,B_blind,OFF-PRIOR,8853,16,0.092315,0.09265,-0.000335,-0.001207,0.000506,0.05,0.05
yelp,45,EASE,ON-PRIOR,27919,2,0.450184,0.6498,-0.199616,-0.274144,-0.12812,0.05,0.05
yelp,45,EASE,OFF-PRIOR,8853,16,0.068575,0.076731,-0.008156,-0.018207,0.000761,0.05,0.05
yelp,45,AFM,ON-PRIOR,27919,2,0.501162,0.50941,-0.008248,-0.023478,-0.001235,0.05,0.1
yelp,45,AFM,OFF-PRIOR,8853,16,0.079801,0.078893,0.000909,0.00015,0.001874,0.05,0.1
yelp,45,SASRec,ON-PRIOR,27919,2,0.729845,0.738889,-0.009044,-0.023597,-0.001085,0.05,0.05
yelp,45,SASRec,OFF-PRIOR,8853,16,0.117336,0.115942,0.001394,-0.001154,0.004264,0.05,0.05
yelp,46,B_blind,ON-PRIOR,27919,2,0.497014,0.495886,0.001128,-0.001418,0.003777,0.05,0.05
yelp,46,B_blind,OFF-PRIOR,8853,16,0.092315,0.09265,-0.000335,-0.001207,0.000506,0.05,0.05
yelp,46,EASE,ON-PRIOR,27919,2,0.450184,0.6498,-0.199616,-0.274144,-0.12812,0.05,0.05
yelp,46,EASE,OFF-PRIOR,8853,16,0.068575,0.076731,-0.008156,-0.018207,0.000761,0.05,0.05
yelp,46,AFM,ON-PRIOR,27919,2,0.501162,0.50941,-0.008248,-0.023478,-0.001235,0.05,0.1
yelp,46,AFM,OFF-PRIOR,8853,16,0.079801,0.078893,0.000909,0.00015,0.001874,0.05,0.1
yelp,46,SASRec,ON-PRIOR,27919,2,0.729845,0.738889,-0.009044,-0.023597,-0.001085,0.05,0.05
