city,seed,backbone,phase,K,eps,kappa,gating,boundary_frac,macroCatMRR,CatMRR,HR20,NDCG20,Coverage,Gini,LT20
ml1m,42,B_blind,keps,3,0.03,0.25,double,0.1722,0.13308378309926117,0.3779634968202929,0.06273727095957778,0.023861616257822807,0.6877300613496933,0.7395881446052393,0.2444912
ml1m,42,EASE,keps,3,0.03,0.25,double,0.1722,0.12750142302675826,0.37916178648952203,0.07138104987362695,0.02667425801562875,0.41932515337423315,0.9108141349001482,0.017434336
ml1m,42,AFM,keps,3,0.03,0.25,double,0.1722,0.21541996908989466,0.4376332918210418,0.08992547934306595,0.034843619836481474,0.37300613496932516,0.9238728774570819,0.051659476
ml1m,42,SASRec,keps,3,0.03,0.25,double,0.1722,0.33783093746009185,0.5124765296287568,0.31803310733649526,0.13372624972585437,0.8432515337423313,0.5622748151174519,0.57744676
ml1m,42,B_blind,keps,3,0.05,0.25,double,0.2662,0.13335076788762326,0.37800960305543285,0.06271669461619976,0.02386696242874081,0.6883435582822086,0.739856878277106,0.24412136
ml1m,42,EASE,keps,3,0.05,0.25,double,0.2662,0.13022101963256014,0.38593500574612416,0.07228126489641525,0.026988718878769646,0.4205521472392638,0.9122643394864383,0.017031554
ml1m,42,AFM,keps,3,0.05,0.25,double,0.2662,0.21537027846086623,0.43895430334835644,0.08994091160059947,0.034900761427857335,0.37147239263803683,0.9242006100065281,0.051546305
ml1m,42,SASRec,keps,3,0.05,0.25,double,0.2662,0.3388199970657689,0.5142304032599102,0.3185372277492567,0.13401965446771896,0.8423312883435583,0.5630610144755837,0.57710105
ml1m,42,B_blind,keps,3,0.1,0.25,double,0.4692,0.1329386359440664,0.37764069926774213,0.06294303439335795,0.023913231643647757,0.6861963190184049,0.7405142959195028,0.24331734
ml1m,42,EASE,keps,3,0.1,0.25,double,0.4692,0.13474611033829353,0.3989408007726794,0.0734592605548068,0.027473570476083335,0.41779141104294476,0.9163449931981298,0.015697177
ml1m,42,AFM,keps,3,0.1,0.25,double,0.4692,0.21509332462082853,0.4400266806374683,0.089976920201511,0.035019639447590956,0.36871165644171777,0.9249783863185745,0.05091668
ml1m,42,SASRec,keps,3,0.1,0.25,double,0.4692,0.3402480579542396,0.5181660937922127,0.3202244879062542,0.13460531975542367,0.8404907975460123,0.5650581837135464,0.5757343
ml1m,42,B_blind,keps,4,0.01,0.25,double,0.071,0.13537020960157659,0.3766306235399958,0.06273727095957778,0.02385212677531756,0.6865030674846626,0.7387377846107508,0.24678597
