gamma,depth,n,city,K,eps,ari_mean,ari_min,bfrac,n_iters,secs
0.5,2,3,bangkok,4,0.03,0.6813137784255643,0.6202034891474539,0.5057459885327723,10,5.3
0.5,2,3,nyc_tist,6,0.02,0.7962411494397766,0.6946035140383581,0.14893754858771702,36,4.9
0.5,2,3,saopaulo,8,0.02,0.8079676800072167,0.7700979854429947,0.1829313543599258,25,6.1
0.5,2,3,tokyo_tist,4,0.05,0.7294863475523767,0.6147488219573013,0.18040441942880966,58,21.2
0.5,2,5,istanbul,8,0.01,0.38262118529648054,0.29865306475294584,0.24298440563012647,52,65.8
0.5,2,5,bangkok,4,0.03,0.5948887987046116,0.4675487208830452,0.4552901868580621,12,5.6
0.5,2,5,nyc_tist,6,0.02,0.7548925427765477,0.7236362566744708,0.2624384555584348,39,5.3
0.5,2,5,saopaulo,8,0.02,0.9176362707087504,0.87696226754706,0.16631106988249847,23,6.0
0.5,2,5,tokyo_tist,4,0.05,0.5115971251046348,0.32969667033907496,0.18376961791595936,61,21.9
0.5,2,7,istanbul,8,0.01,0.6292779637695363,0.6072851309106665,0.1967388484610221,44,56.5
0.5,2,7,bangkok,4,0.03,0.762046703813008,0.6436172723448426,0.29117683455017945,16,6.4
0.5,2,7,nyc_tist,6,0.02,0.6969679177969845,0.6332560531551852,0.2355964412196597,37,5.0
0.5,2,7,saopaulo,8,0.02,1.0,1.0,0.15681818181818183,29,6.8
0.5,2,7,tokyo_tist,4,0.05,0.8203304774287011,0.7730914359983138,0.16996932606688706,36,15.1
0.5,2,10,istanbul,8,0.01,0.6516673086532324,0.5458400412066132,0.20888592923028373,32,44.2
0.5,2,10,bangkok,4,0.03,0.6952675357041808,0.5435849484339231,0.553916594480881,19,7.1
0.5,2,10,nyc_tist,6,0.02,0.7270391847893425,0.6960731694365405,0.28010279001468424,38,5.1
0.5,2,10,saopaulo,8,0.02,0.6529253942358982,0.5583164254276692,0.18013296227581943,29,6.9
0.5,2,10,tokyo_tist,4,0.05,0.6589983980373845,0.49976372499156446,0.13640072664462907,60,21.7
0.5,3,3,istanbul,8,0.01,0.7841802721476752,0.7259579428751147,0.19960846925922063,22,34.2
0.5,3,3,bangkok,4,0.03,0.6113134151132628,0.4173268089841282,0.32026564369096233,80,18.1
0.5,3,3,nyc_tist,6,0.02,0.7900565491129337,0.6850848236694005,0.22309320203852467,21,3.6
0.5,3,3,saopaulo,8,0.02,0.6072041755394824,0.5182543294195333,0.22198515769944338,60,11.8
0.5,3,3,tokyo_tist,4,0.05,0.9029674709679654,0.8672098105199599,0.09493433395872419,56,20.7
0.5,3,5,istanbul,8,0.01,0.4944196039589917,0.46682955990400465,0.22793293698869,50,64.3
0.5,3,5,bangkok,4,0.03,0.6083889166623854,0.49836241862788266,0.3215526131254382,34,9.5
0.5,3,5,nyc_tist,6,0.02,0.6976622689413569,0.6188764242578242,0.20212490282456597,36,5.0
0.5,3,5,saopaulo,8,0.02,0.6632954910761928,0.623887063741472,0.22589672232529376,80,14.7
0.5,3,5,tokyo_tist,4,0.05,0.7831539959779829,0.6768274024464231,0.11758539563417612,56,20.8
0.5,3,7,istanbul,8,0.01,0.5830348518590521,0.44910414598168497,0.19121623247940053,44,56.4
0.5,3,7,bangkok,4,0.03,0.8221879928081846,0.733501654188166,0.27618694056016174,59,13.7
0.5,3,7,nyc_tist,6,0.02,0.9992517072690612,0.9988776791268823,0.20618467651377728,20,3.5
0.5,3,7,saopaulo,8,0.02,0.7706359259668626,0.6564336955793763,0.19542362399505256,31,7.1
0.5,3,7,tokyo_tist,4,0.05,0.934477418223944,0.9017161273359159,0.07258703356264333,37,15.0
0.5,3,10,istanbul,8,0.01,0.5843179354399819,0.5038187568927336,0.2156681830459701,26,38.4
0.5,3,10,bangkok,4,0.03,0.5733897954136646,0.36136208270155534,0.33933094089015386,80,17.7
0.5,3,10,nyc_tist,6,0.02,0.677675925574731,0.5970715793574,0.2106763410209899,37,5.1
0.5,3,10,saopaulo,8,0.02,0.6078297327124879,0.5556825230919825,0.21697588126159553,80,14.8
0.5,3,10,tokyo_tist,4,0.05,0.9044495064979249,0.8633604029582449,0.11806784001905953,57,20.7
0.5,4,3,istanbul,8,0.01,0.5612366201498392,0.4605334984150891,0.24475217762230658,37,50.7
0.5,4,3,bangkok,4,0.03,0.999677575410522,0.999516363115783,0.1788805015880873,80,17.3
0.5,4,3,nyc_tist,6,0.02,0.8215575054051638,0.7616920951154496,0.23427917422475597,27,4.2
0.5,4,3,saopaulo,8,0.02,0.7463185710599968,0.6204352350244888,0.21376004947433516,80,14.8
0.5,4,3,tokyo_tist,4,0.05,0.7779387128913214,0.666994898579755,0.11723398552666846,37,15.3
