gamma,depth,n,P,neigh_mean,plateau_width,self_ari
0.8,5,5,0.6473032774412802,0.7235577821303605,3,0.7584571870981732
0.6,3,3,0.6472107900321123,0.7256539195590893,1,0.7440630526995136
0.7,3,5,0.6472107900321123,0.721703035985458,1,0.7100178550828177
0.4,5,3,0.6432549451037091,0.7590096299160467,3,0.8087468152456626
0.5,6,3,0.6432549451037091,0.7586470425295724,1,0.7617570256149699
0.5,5,3,0.6432549451037091,0.7464401039258171,4,0.6432549451037091
0.5,5,5,0.6432549451037091,0.7297675304747209,1,0.721964423356221
0.5,4,3,0.6432549451037091,0.7169779353932451,3,0.7813457969833687
0.3,3,7,0.6425787325998737,0.7343362517969211,2,0.8308847861209026
0.4,2,7,0.6425787325998737,0.7269248097792002,2,0.8061767174720245
0.5,3,7,0.6425787325998737,0.7265589299475971,2,0.8219175792254209
0.4,3,10,0.6425787325998737,0.7198249889519102,1,0.7345263654412003
0.4,4,7,0.6425787325998737,0.7110298460969089,3,0.7522465198438397
0.3,3,5,0.6340659102648497,0.7587419598115491,2,0.7572225135305812
0.4,3,7,0.6340659102648497,0.7460566587097303,3,0.6425787325998737
0.4,3,3,0.6340659102648497,0.719051725300201,1,0.7332284509564565
0.4,4,5,0.6340659102648497,0.7150899582704021,4,0.6982343357163309
0.4,3,5,0.6340659102648497,0.6938186261281819,3,0.6340659102648497
0.5,2,7,0.632327184518205,0.7346878391490597,3,0.781724612561646
0.5,3,5,0.632327184518205,0.721584051760324,2,0.649384055323382
0.4,2,5,0.632327184518205,0.7179864786480376,2,0.7420163845058003
0.6,2,5,0.632327184518205,0.7157121501688796,1,0.7184373858364486
0.5,2,5,0.632327184518205,0.7085411730801415,2,0.632327184518205
0.5,2,3,0.632327184518205,0.7019411894049126,3,0.7273574157353665
0.8,3,10,0.6142844510183554,0.7078190228226562,1,0.6917305266363722
0.8,2,7,0.6142844510183554,0.7060328766437693,3,0.6954956388862634
0.7,2,10,0.6142844510183554,0.692779764637988,2,0.7614054228313455
0.8,2,10,0.6142844510183554,0.690729009843084,1,0.6142844510183554
0.8,2,5,0.6015535921965713,0.6984951221109427,3,0.7300587560483107
0.8,2,3,0.6015535921965713,0.6838001077977033,3,0.6015535921965713
