city,K,eps,kind,gamma,depth,n,ari_mean,ari_min,bfrac,n_iters,secs
istanbul,4,0.01,neigh_0.5_6_3,0.5,6,3,0.7120212477947608,0.5334904418841474,0.19485393817344493,31,40.5
istanbul,4,0.01,neigh_0.4_5_3,0.4,5,3,0.6707299757810727,0.4517594719538026,0.17731849581591635,19,29.4
istanbul,4,0.01,neigh_0.4_6_5,0.4,6,5,0.7326601471730163,0.556996740966475,0.17445261916414606,23,33.5
bangkok,4,0.03,neigh_0.3_6_3,0.3,6,3,0.9997472251483146,0.9995807773599139,0.11310481376067319,17,8.9
bangkok,4,0.03,neigh_0.5_6_3,0.5,6,3,0.8634444401667525,0.7725263834388698,0.25936888998886276,16,8.8
bangkok,4,0.03,neigh_0.4_5_3,0.4,5,3,0.8704321278378956,0.6761845607796234,0.22548694468506372,14,8.5
bangkok,4,0.03,neigh_0.4_6_5,0.4,6,5,0.999826304509312,0.9996834493928948,0.16795446108154935,9,6.9
nyc_tist,4,0.02,neigh_0.3_6_3,0.3,6,3,0.7780752166108396,0.5120485783810604,0.13490541591085775,23,4.8
nyc_tist,4,0.02,neigh_0.5_6_3,0.5,6,3,0.9587462445445809,0.8970712423649678,0.17016066338429645,21,4.2
nyc_tist,4,0.02,neigh_0.4_5_3,0.4,5,3,0.7744369858334582,0.43904163016698405,0.2006478362270018,18,3.8
nyc_tist,4,0.02,neigh_0.4_6_5,0.4,6,5,0.9990795828872162,0.9984021481547269,0.16718061674008808,34,5.8
saopaulo,4,0.03,neigh_0.3_6_3,0.3,6,3,0.8287820064874907,0.7146187937537006,0.16570500927643783,15,4.6
saopaulo,4,0.03,neigh_0.5_6_3,0.5,6,3,0.8324954663611495,0.7045718660771536,0.1550834879406308,18,5.0
saopaulo,4,0.03,neigh_0.4_5_3,0.4,5,3,0.7894541140483873,0.6689169307312871,0.18104823747680893,19,5.0
saopaulo,4,0.03,neigh_0.4_6_5,0.4,6,5,0.8338747645568997,0.7088173018208157,0.16886827458256032,18,5.0
tokyo_tist,4,0.07,neigh_0.3_6_3,0.3,6,3,0.6299685404316396,0.29814421527213236,0.2536227999642634,48,27.6
tokyo_tist,4,0.07,neigh_0.5_6_3,0.5,6,3,0.8054960577199125,0.5632868849195412,0.22291432145090678,35,21.3
tokyo_tist,4,0.07,neigh_0.4_5_3,0.4,5,3,0.832891032381917,0.6321306890124712,0.27134101670687033,26,17.3
tokyo_tist,4,0.07,neigh_0.4_6_5,0.4,6,5,0.8091406823119851,0.6436484726345515,0.222324667202716,66,36.6
