gamma,depth,n,P,neigh_mean,plateau_width,self_ari
0.5,2,7,0.632327184518205,0.7346878391490597,3,0.781724612561646
0.5,3,5,0.632327184518205,0.721584051760324,2,0.649384055323382
0.4,2,5,0.632327184518205,0.7179864786480376,2,0.7420163845058003
0.6,2,5,0.632327184518205,0.7157121501688796,1,0.7184373858364486
0.5,2,5,0.632327184518205,0.7085411730801415,2,0.632327184518205
0.5,2,3,0.632327184518205,0.7019411894049126,3,0.7273574157353665
0.6,4,3,0.5911850484391902,0.711971584430997,3,0.7159135534720517
0.7,4,5,0.5911850484391902,0.7061330079474178,2,0.6756675901583196
0.7,3,3,0.5911850484391902,0.67884122281733,3,0.6472107900321123
0.7,5,5,0.5840620817810326,0.727068021859613,2,0.7823707563780202
0.6,5,3,0.5840620817810326,0.7064789560184123,1,0.7615716172509706
0.7,5,3,0.5840620817810326,0.6797973759623035,2,0.5840620817810326
0.7,4,3,0.5840620817810326,0.6428078127765412,2,0.5911850484391902
