gamma,depth,n,city,K,eps,ari_mean,ari_min,n_iters,secs
0.5,3,3,istanbul,8,0.01,0.7841802721476752,0.7259579428751147,22,33.3
0.5,3,3,bangkok,4,0.03,0.6113134151132628,0.4173268089841282,80,18.1
0.5,3,3,nyc_tist,6,0.02,0.7900565491129337,0.6850848236694005,21,3.6
0.5,3,3,saopaulo,8,0.02,0.6072041755394824,0.5182543294195333,60,11.9
0.5,3,3,tokyo_tist,4,0.05,0.9029674709679654,0.8672098105199599,56,20.3
0.5,3,5,istanbul,8,0.01,0.4944196039589917,0.46682955990400465,50,63.1
0.5,3,5,bangkok,4,0.03,0.6083889166623854,0.49836241862788266,34,9.6
0.5,3,5,nyc_tist,6,0.02,0.6976622689413569,0.6188764242578242,36,5.0
0.5,3,5,saopaulo,8,0.02,0.6632954910761928,0.623887063741472,80,14.6
0.5,3,5,tokyo_tist,4,0.05,0.7831539959779829,0.6768274024464231,56,20.4
0.5,3,7,istanbul,8,0.01,0.5830348518590521,0.44910414598168497,44,56.1
0.5,3,7,bangkok,4,0.03,0.8221879928081846,0.733501654188166,59,14.2
0.5,3,7,nyc_tist,6,0.02,0.9992517072690612,0.9988776791268823,20,3.4
0.5,3,7,saopaulo,8,0.02,0.7706359259668626,0.6564336955793763,31,7.0
0.5,3,7,tokyo_tist,4,0.05,0.934477418223944,0.9017161273359159,37,14.6
0.5,3,10,istanbul,8,0.01,0.5843179354399819,0.5038187568927336,26,38.2
0.5,3,10,bangkok,4,0.03,0.5733897954136646,0.36136208270155534,80,17.9
0.5,3,10,nyc_tist,6,0.02,0.677675925574731,0.5970715793574,37,5.1
0.5,3,10,saopaulo,8,0.02,0.6078297327124879,0.5556825230919825,80,15.0
0.5,3,10,tokyo_tist,4,0.05,0.9044495064979249,0.8633604029582449,57,20.6
0.5,4,3,istanbul,8,0.01,0.5612366201498392,0.4605334984150891,37,49.6
0.5,4,3,bangkok,4,0.03,0.999677575410522,0.999516363115783,80,17.6
0.5,4,3,nyc_tist,6,0.02,0.8215575054051638,0.7616920951154496,27,4.1
0.5,4,3,saopaulo,8,0.02,0.7463185710599968,0.6204352350244888,80,15.1
0.5,4,3,tokyo_tist,4,0.05,0.7779387128913214,0.666994898579755,37,16.0
0.5,4,5,istanbul,8,0.01,0.5956583469145263,0.5671554668761426,33,48.1
0.5,4,5,bangkok,4,0.03,0.8657654271944226,0.7994081284978511,35,9.9
0.5,4,5,nyc_tist,6,0.02,0.6869533757965537,0.6220104702355033,18,3.3
0.5,4,5,saopaulo,8,0.02,0.7412169795784148,0.626388489212408,80,15.1
0.5,4,5,tokyo_tist,4,0.05,0.8435618743330292,0.7653428114995438,36,14.6
0.5,4,7,istanbul,8,0.01,0.636392265702094,0.5138434228386014,21,32.1
0.5,4,7,bangkok,4,0.03,0.6301240271606839,0.5362712046597898,34,9.5
0.5,4,7,nyc_tist,6,0.02,0.8081624622630746,0.7391980536480239,17,3.4
0.5,4,7,saopaulo,8,0.02,0.9594234887235542,0.9391378704073245,28,6.7
0.5,4,7,tokyo_tist,4,0.05,0.7778696875855048,0.6668045313782571,36,14.7
0.5,4,10,istanbul,8,0.01,0.7858184847900272,0.7632335728694,29,41.9
0.5,4,10,bangkok,4,0.03,0.6899027354160934,0.5354135645114009,57,13.4
0.5,4,10,nyc_tist,6,0.02,0.8243463340442583,0.7384305274416059,17,3.2
0.5,4,10,saopaulo,8,0.02,0.5436880893201389,0.5073946569060862,33,7.3
0.5,4,10,tokyo_tist,4,0.05,0.6077189641737403,0.4138669741541373,44,16.8
0.5,5,3,istanbul,8,0.01,0.7092408227838631,0.6330290242024247,47,60.7
0.5,5,3,bangkok,4,0.03,0.5415689752470133,0.36236470926261666,21,7.5
0.5,5,3,nyc_tist,6,0.02,0.6062101060276053,0.5016643510204608,18,3.3
0.5,5,3,saopaulo,8,0.02,0.5722672157513956,0.4519069479810932,28,6.6
0.5,5,3,tokyo_tist,4,0.05,0.7869876057086677,0.6826023893748113,57,20.8
0.5,5,5,istanbul,8,0.01,0.6001777239027005,0.5434915762401424,44,57.1
0.5,5,5,bangkok,4,0.03,0.9999014269827328,0.9998521404740991,12,5.7
0.5,5,5,nyc_tist,6,0.02,0.6321593245711051,0.5363780922120474,33,4.7
0.5,5,5,saopaulo,8,0.02,0.6529306822417981,0.5390647254019197,46,9.5
0.5,5,5,tokyo_tist,4,0.05,0.7246529590827686,0.5869794386241528,45,17.4
0.5,5,7,istanbul,8,0.01,0.457598407474459,0.29587515373256645,32,44.4
0.5,5,7,bangkok,4,0.03,0.8604617601381973,0.7908022771989308,19,6.8
0.5,5,7,nyc_tist,6,0.02,0.6039339031786959,0.4863941875595568,35,4.8
0.5,5,7,saopaulo,8,0.02,0.7252993249977419,0.6661752586649712,34,7.8
0.5,5,7,tokyo_tist,4,0.05,0.7284875211789624,0.5927312817684436,36,14.5
0.5,5,10,istanbul,8,0.01,0.5671084489974044,0.41570390222760206,56,72.0
0.5,5,10,bangkok,4,0.03,0.7734422412090093,0.6602215216201623,27,8.5
0.5,5,10,nyc_tist,6,0.02,0.64484591212124,0.5375127727489917,40,5.3
0.5,5,10,saopaulo,8,0.02,0.647778458542095,0.5013933129502888,41,8.7
0.5,5,10,tokyo_tist,4,0.05,0.7730508830559103,0.6851800030678669,40,15.9
0.6,2,3,istanbul,8,0.01,0.8183340985269392,0.8091007395600148,61,73.9
