city,K,eps,kind,gamma,depth,n,ari_mean,ari_min,n_iters,secs
bangkok,4,0.01,neigh_0.7_4_7,0.7,4,7,0.9991303613583513,0.9983551634993483,28,11.3
bangkok,4,0.01,neigh_0.7_5_5,0.7,5,5,0.8189460898170688,0.5480291370078225,15,7.8
bangkok,4,0.01,neigh_0.7_5_10,0.7,5,10,0.7237671349924375,0.539516388024287,25,10.7
nyc_tist,6,0.01,neigh_0.6_5_7,0.6,5,7,0.7976852629291843,0.4947218733501958,18,4.3
nyc_tist,6,0.01,neigh_0.7_4_7,0.7,4,7,0.6976198149085898,0.5311580222769258,24,5.2
nyc_tist,6,0.01,neigh_0.7_5_5,0.7,5,5,0.6679167349730065,0.49264309447087395,30,6.1
nyc_tist,6,0.01,neigh_0.7_5_10,0.7,5,10,0.7425804887049795,0.5806185871442531,37,7.3
saopaulo,8,0.01,neigh_0.6_5_7,0.6,5,7,0.8158598865436044,0.6151847250225955,64,18.8
saopaulo,8,0.01,neigh_0.7_4_7,0.7,4,7,0.7811650035711334,0.5969516996940097,63,19.0
saopaulo,8,0.01,neigh_0.7_5_5,0.7,5,5,0.7756404623358051,0.6329280214226934,52,15.5
saopaulo,8,0.01,neigh_0.7_5_10,0.7,5,10,0.8221045124493893,0.6953135205914406,64,18.5
tokyo_tist,4,0.01,neigh_0.6_5_7,0.6,5,7,0.8595460873861349,0.6961715559704063,69,36.6
tokyo_tist,4,0.01,neigh_0.7_4_7,0.7,4,7,0.7893443649353314,0.6555516260008063,42,24.6
tokyo_tist,4,0.01,neigh_0.7_5_5,0.7,5,5,0.9549036749185795,0.8872591872964486,36,21.4
tokyo_tist,4,0.01,neigh_0.7_5_10,0.7,5,10,1.0,1.0,22,15.5
