dataset,backbone,seed,method,situation,n_requests,n_users,macroCatMRR,microCatMRR,n_cats_supported,low_support
kuairand,AFM,44,Steck-b,0,8005,2939,0.08196456512322754,0.2721867602823511,33,False
kuairand,AFM,44,Steck-b,1,25132,10707,0.07245065839676453,0.28551605294303,38,False
kuairand,AFM,44,Steck-b,2,13764,7015,0.07775464379976804,0.3205436645709603,36,False
kuairand,AFM,44,Steck-b,3,5867,2039,0.10386200258412513,0.26222920683341,25,False
kuairand,FPMC,44,BASE,0,8005,2939,0.1176577765968548,0.277134822582279,33,False
kuairand,FPMC,44,BASE,1,25132,10707,0.10241913533574433,0.2690721136961543,38,False
kuairand,FPMC,44,BASE,2,13764,7015,0.10215928715905931,0.31102461757459215,36,False
kuairand,FPMC,44,BASE,3,5867,2039,0.12655716591401542,0.2996675555340348,25,False
kuairand,FPMC,44,SIT,0,8005,2939,0.11651480913560487,0.2778282306491746,33,False
kuairand,FPMC,44,SIT,1,25132,10707,0.10299425721793347,0.2655902676807485,38,False
kuairand,FPMC,44,SIT,2,13764,7015,0.09875635635223978,0.31578561315512654,36,False
kuairand,FPMC,44,SIT,3,5867,2039,0.12389887213233951,0.3068672024775745,25,False
kuairand,FPMC,44,Steck-b,0,8005,2939,0.11792697112063565,0.2799081304398487,33,False
kuairand,FPMC,44,Steck-b,1,25132,10707,0.1048087114769987,0.27022351392204114,38,False
kuairand,FPMC,44,Steck-b,2,13764,7015,0.10343940945115883,0.31346223180682137,36,False
kuairand,FPMC,44,Steck-b,3,5867,2039,0.12628124375556923,0.3058214899588582,25,False
kuairand,SASRec,44,BASE,0,8005,2939,0.12570047030406403,0.28489570631250655,33,False
kuairand,SASRec,44,BASE,1,25132,10707,0.11621637962905126,0.27261715579976586,38,False
kuairand,SASRec,44,BASE,2,13764,7015,0.11035351960705736,0.3244500367203873,36,False
kuairand,SASRec,44,BASE,3,5867,2039,0.12696164503941063,0.32516056645238745,25,False
kuairand,SASRec,44,SIT,0,8005,2939,0.12506144025332153,0.2846542681006266,33,False
kuairand,SASRec,44,SIT,1,25132,10707,0.11590320130223426,0.26875139322273717,38,False
kuairand,SASRec,44,SIT,2,13764,7015,0.10592107193641752,0.32853647172158107,36,False
kuairand,SASRec,44,SIT,3,5867,2039,0.12306256824707171,0.327042884161246,25,False
kuairand,SASRec,44,Steck-b,0,8005,2939,0.12590014318851747,0.2862493551418647,33,False
kuairand,SASRec,44,Steck-b,1,25132,10707,0.11689346575086264,0.2735468974203418,38,False
kuairand,SASRec,44,Steck-b,2,13764,7015,0.1108717287603304,0.3261498011221808,36,False
kuairand,SASRec,44,Steck-b,3,5867,2039,0.12711873238040142,0.3272362665979545,25,False
kuairand,B_blind,45,BASE,0,7819,2870,0.10290409729194758,0.27176451907405663,32,False
kuairand,B_blind,45,BASE,1,25480,10850,0.08529217040314017,0.2655627699175771,38,False
kuairand,B_blind,45,BASE,2,13614,7003,0.08763695665939625,0.29993367020279077,36,False
kuairand,B_blind,45,BASE,3,5855,2039,0.11327376098597856,0.28820761035546627,25,False
kuairand,B_blind,45,SIT,0,7819,2870,0.10361854419133934,0.2732431758756853,32,False
kuairand,B_blind,45,SIT,1,25480,10850,0.08646912071794945,0.25767608653642776,38,False
kuairand,B_blind,45,SIT,2,13614,7003,0.08016968791992089,0.3094307014447671,36,False
kuairand,B_blind,45,SIT,3,5855,2039,0.10947156259956588,0.3004017553688259,25,False
kuairand,B_blind,45,Steck-b,0,7819,2870,0.106516052190962,0.2799776075466206,32,False
kuairand,B_blind,45,Steck-b,1,25480,10850,0.0924259187696524,0.2684730477119077,38,False
kuairand,B_blind,45,Steck-b,2,13614,7003,0.09400093798419058,0.3053427173601395,36,False
kuairand,B_blind,45,Steck-b,3,5855,2039,0.11487871424863098,0.30253383949901047,25,False
kuairand,B_full,45,BASE,0,7819,2870,0.09492701489164435,0.2673304706625442,32,False
kuairand,B_full,45,BASE,1,25480,10850,0.08194036520146168,0.2727763559818386,38,False
kuairand,B_full,45,BASE,2,13614,7003,0.07645734380890729,0.3403971698892335,36,False
kuairand,B_full,45,BASE,3,5855,2039,0.10515381185033017,0.2920684176026253,25,False
kuairand,B_full,45,SIT,0,7819,2870,0.09517919083335136,0.26696035046666516,32,False
kuairand,B_full,45,SIT,1,25480,10850,0.08212435869220334,0.2697592185931793,38,False
kuairand,B_full,45,SIT,2,13614,7003,0.073155528995538,0.34220043035656833,36,False
kuairand,B_full,45,SIT,3,5855,2039,0.1046018667345106,0.29754118276590535,25,False
kuairand,B_full,45,Steck-b,0,7819,2870,0.09847211968013792,0.278208602917541,32,False
