dataset,n,seed,arm,kappa,K,eps,n_req,n_users,macroCatMRR,CatMRR,HR20,NDCG20
ml1m,8,43,PRIOR,0.1,5,0.02,97199,6040,0.1968124650384579,0.28650769283770705,0.09982612989845574,0.04192496743037558
ml1m,8,43,SIT,0.1,5,0.02,97199,6040,0.15649056563243316,0.33156475393433876,0.09823146328665933,0.0405608642790365
ml1m,8,43,PERM,0.1,5,0.02,97199,6040,0.10182531249667748,0.2039604768781772,0.05878661303099826,0.025180143407801864
ml1m,8,44,BASE,0.1,5,0.02,97199,6040,0.18491669234473943,0.4189384820046731,0.12906511383861974,0.051497646911744625
ml1m,8,44,PRIOR,0.1,5,0.02,97199,6040,0.196844632908442,0.28645294103833135,0.09981584172676673,0.04192270051951553
ml1m,8,44,SIT,0.1,5,0.02,97199,6040,0.15638266801399844,0.3315610653431697,0.09816973425652527,0.04053380338110387
ml1m,8,44,PERM,0.1,5,0.02,97199,6040,0.10319261347790144,0.2038210069191182,0.058766036687620246,0.025456708245168953
ml1m,8,45,BASE,0.1,5,0.02,97199,6040,0.18491669234473943,0.4189384820046731,0.12906511383861974,0.051497646911744625
ml1m,8,45,PRIOR,0.1,5,0.02,97199,6040,0.19645835682179255,0.28661409040255,0.09986728258521178,0.041931920680824776
ml1m,8,45,SIT,0.1,5,0.02,97199,6040,0.15644511224146462,0.33144114869229807,0.09816973425652527,0.04054266370445047
ml1m,8,45,PERM,0.1,5,0.02,97199,6040,0.10115773403906866,0.20303712205954463,0.058405950678504924,0.02487918188689159
ml1m,8,46,BASE,0.1,5,0.02,97199,6040,0.18491669234473943,0.4189384820046731,0.12906511383861974,0.051497646911744625
ml1m,8,46,PRIOR,0.1,5,0.02,97199,6040,0.19648736894954344,0.28665046896949814,0.09986728258521178,0.04193289442600746
ml1m,8,46,SIT,0.1,5,0.02,97199,6040,0.15644830836118898,0.33145284562063,0.09815944608483626,0.04054009595267913
ml1m,8,46,PERM,0.1,5,0.02,97199,6040,0.09933540341228726,0.20336093694154367,0.05756232060000617,0.0245206847807025
ml1m,13,42,BASE,0.1,5,0.02,97199,6040,0.18139896977951314,0.4180835178926121,0.12762476980215845,0.05002832370676961
ml1m,13,42,PRIOR,0.1,5,0.02,97199,6040,0.19917459293596285,0.33111184243355696,0.11269663268140619,0.045317011814145235
ml1m,13,42,SIT,0.1,5,0.02,97199,6040,0.15931615878181649,0.3417970768606463,0.1036018889083221,0.04181442673769274
ml1m,13,42,PERM,0.1,5,0.02,97199,6040,0.10735425918501222,0.22313062506351772,0.06567968806263438,0.027408909719653513
